Title of the position,Company/Employer,Job Function,Industry,Benefits,Career Level,Years of experience,Qualification,Job Type
Audit Junior,Implex CPA Limited,"Accounting, Accounting Clerk / Supervisor, Audit",Accounting/Audit/Tax Services,"Dental insurance, Education allowance, Medical insurance, Five-day work week",Not available,Not available,Not available,Full Time
技術人員 (郵務系統設備維修),Smartech Business Systems (Hong Kong) Limited,"Engineering, Others, Others, Technician",Electronics/Electrical Equipment,"Performance bonus, Five-day work week",Not available,Not available,Primary,Full Time
"Merchandiser / Assistant Merchandiser (Gift & Premium, Toys product) ---  (5 days ) (No need OT)","Merchandiser / Assistant Merchandiser (Gift & Premium, Toys product) ---  (5 days ) (No need OT)","Merchandising & Purchasing, Others, Procurement / Purchasing / Sourcing, Others, Others",Human Resources Management/Consultancy,"Double pay, Medical insurance, Performance bonus, Five-day work week",Middle,3 years,Non-Degree Tertiary,"Full Time, Permanent"
Product Manager - New Headcount,Vita Green Health Products Company Limited,"Marketing / Public Relations, Marketing - Brand / Product Management, Others, Digital Marketing",Health & Beauty Care,"Dental insurance, Free shuttle bus, Medical insurance, Performance bonus, Five-day work week",Middle,8 years,Degree,"Full Time, Permanent"
Group Head of Compliance & QA,The Kowloon Dairy Ltd,"Sciences, Lab, R&D, Food Science, Manufacturing, Quality Assurance, Control & Testing / ISO",Food and Beverage,"Double pay, Education allowance, Life insurance, Medical insurance, Performance bonus, Five-day work week",Senior,8 years,Degree,"Full Time, Permanent"
Senior Credit Risk Manager / Credit Risk Manager (Credit Approval),Bank of China (Hong Kong) Limited,"Banking / Finance, Credit Analysis / Approval",Financial Services,Not available,Senior,5 years,Degree,Full Time
Senior Product Manager / Product Manager  (Digital Platform & Product Delivery),Bank of China (Hong Kong) Limited,"Banking / Finance, Corporate Banking",Financial Services,Not available,Middle,5 years,Degree,Full Time
Senior Product Manager / Product Manager (Settlement),Bank of China (Hong Kong) Limited,"Others, Others",Financial Services,Not available,Middle,5 years,Degree,Full Time
Senior Compliance Manager / Compliance Manager -  Sanctions,Bank of China (Hong Kong) Limited,"Banking / Finance, Risk Management",Financial Services,Not available,Entry Level,5 years,Degree,Full Time
Credit Execution Manager / Deputy Credit Execution Manager (Corporate Credit Execution),Bank of China (Hong Kong) Limited,"Banking / Finance, Corporate Banking",Financial Services,Not available,Middle,2 years,Degree,Full Time
Programmer,Ricacorp Properties Limited,"Information Technology (IT), Application Specialist - Software, Software Development, Network & System",Others,"Education allowance, Medical insurance, Performance bonus, Five-day work week",Middle,2 years,Degree,Full Time
HR Clerk,Ricacorp Properties Limited,"Admin & HR, HR Supporting Staff",Others,"Education allowance, Medical insurance, Five-day work week",Not available,Not available,Not available,Full Time
Training Officer,Ricacorp Properties Limited,"Admin & HR, Training & Development",Others,"Education allowance, Medical insurance, Five-day work week",Not available,Not available,Not available,Full Time
Project Assistant,Ricacorp Properties Limited,"Admin & HR, Administration / Operation Manager",Others,"Education allowance, Medical insurance, Five-day work week",Not available,Not available,Not available,Full Time
Public Relations Officer,Ricacorp Properties Limited,"Marketing / Public Relations, Public Relations - General / Support",Others,"Education allowance, Medical insurance, Five-day work week",Not available,Not available,Not available,Full Time
Digital Marketing Officer,Ricacorp Properties Limited,"Marketing / Public Relations, Digital Marketing",Others,"Education allowance, Medical insurance, Five-day work week",Not available,Not available,Not available,Full Time
Management Trainee Summer Internship,Management Trainee Summer Internship,"Banking / Finance, Financial Services, Management, Management Trainee, Asset Management",Financial Services,"Dental insurance, Education allowance, Gratuity, Life insurance, Medical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours",Not available,Not available,Not available,"Full Time, Permanent, Contract, Internship"
